feature,value,1,2,3,4,5,6
num_attn_0_0_outputs,_,4.8011136,0.69746405,-1.5958333,-4.6401787,-8.305634,-7.72076
num_attn_0_1_outputs,_,-8.449643,-1.9581016,2.9319327,7.428522,10.519159,10.069197
num_attn_0_2_outputs,_,-8.879999,-1.8495418,4.414982,8.55849,10.404283,10.593859
num_attn_0_3_outputs,_,5.0145125,0.83028114,-1.3400239,-4.3102083,-8.038903,-7.7459755
num_mlp_0_0_outputs,0,0.45739365,0.7359703,0.09842192,0.050168183,0.34418344,-1.105609
num_mlp_0_0_outputs,1,0.13140799,0.43050995,-0.0885032,-1.2798413,0.01778496,-0.924369
num_mlp_0_0_outputs,2,0.32451615,0.6802439,0.22724114,-0.7399424,-0.68447286,-0.6560669
num_mlp_0_0_outputs,3,0.3353284,0.442355,-0.14360482,-0.09360641,-0.4019453,-0.24082407
num_mlp_0_0_outputs,4,0.6107888,0.626923,-0.37981367,-0.60434264,-0.55470186,-0.55104685
num_mlp_0_0_outputs,5,0.034761705,0.2465986,-0.18759167,0.50701714,-0.67971104,0.061683048
num_mlp_0_0_outputs,6,6.216425,2.7710226,-2.9741862,-9.6415615,-14.580721,-17.270367
num_mlp_0_0_outputs,7,0.12507854,0.9948114,1.1039691,-0.34671068,-0.9073373,-0.22670168
num_mlp_0_1_outputs,0,2.4902604,6.0585155,-1.3875166,-10.102521,-14.608168,-19.495146
num_mlp_0_1_outputs,1,-0.18874644,-0.36755824,0.4898535,-0.7143117,-0.036537766,-0.51742905
num_mlp_0_1_outputs,2,0.29851654,-0.08629258,0.24582785,0.0014723697,-0.71407706,-0.013510506
num_mlp_0_1_outputs,3,0.8272646,0.5453339,0.43785548,-0.7177258,-0.5398739,-0.22631072
num_mlp_0_1_outputs,4,-0.16055387,-0.25918806,-0.13214004,-0.64324456,-0.9592395,-0.7087605
num_mlp_0_1_outputs,5,6.2020273,-4.9864945,-3.8768752,-2.6610136,-1.9398158,-1.0287623
num_mlp_0_1_outputs,6,1.098917,0.33495438,0.044793773,-0.27034408,-0.3177137,-0.6469292
num_mlp_0_1_outputs,7,0.128926,0.78778684,0.11278269,-0.6555363,-0.5293135,-0.5848829
ones,_,5.1595135,1.3366126,-2.5863693,-5.9832087,-9.009446,-6.318825
positions,0,0.017035944,-0.18252511,0.68188363,-0.09575347,0.47485903,0.19948845
positions,1,5.041479,0.7838692,-2.8053236,-5.759466,-8.5169,-7.0580783
positions,2,5.099699,0.8844107,-2.690853,-5.6275616,-8.451442,-6.7525206
positions,3,5.370611,1.2032207,-2.376534,-5.2735534,-8.006117,-6.468894
positions,4,5.1710377,0.9867815,-2.557907,-5.481806,-8.174636,-6.658669
positions,5,5.1483073,1.0410545,-2.4872105,-5.3857584,-8.263144,-6.3088803
positions,6,5.28038,1.284172,-2.1776652,-4.9743586,-7.693496,-6.1325345
positions,7,5.435518,1.480991,-1.9096935,-4.6745186,-7.1580987,-6.6564097
tokens,0,4.6387577,0.5508476,-2.6869106,-5.7244954,-6.5927806,-4.691016
tokens,1,5.396368,1.2914894,-1.9560044,-4.88671,-6.515675,-6.721452
tokens,2,5.2487392,1.1507262,-2.10449,-4.824035,-5.9710884,-4.2478766
tokens,3,4.959408,0.83786136,-2.4555476,-5.2828727,-6.4756136,-7.8605604
tokens,4,5.3010507,1.2306248,-2.0600266,-4.964537,-6.5545654,-4.0578513
tokens,5,4.8945265,0.7964433,-2.511351,-5.430272,-6.4554486,-7.495394
tokens,<pad>,0.8169283,0.68378776,-1.2861986,-0.58212024,-0.6292338,-0.7245549
tokens,<s>,0.48729515,-0.32424203,0.21785998,-0.9390952,-0.1913106,-0.6082134
