epoch,epoch_loss,split,loss,acc,sample_fn
0,1.3022803,train,1.1608127,0.43776694421674794,gumbel_soft
0,1.3022803,val,1.2060496,0.4133843212237094,gumbel_soft
0,1.3022803,test,1.1804577,0.42852118867592753,gumbel_soft
1,1.1433258,train,1.1252513,0.4377022304672333,gumbel_soft
1,1.1433258,val,1.1600717,0.4254302103250478,gumbel_soft
1,1.1433258,test,1.1431867,0.428345349041674,gumbel_soft
2,1.1104459,train,1.0789988,0.5228008110789939,gumbel_soft
2,1.1104459,val,1.1160661,0.48891013384321225,gumbel_soft
2,1.1104459,test,1.1129007,0.489185862493406,gumbel_soft
3,1.0291233,train,0.9319002,0.6941196772941024,gumbel_soft
3,1.0291233,val,0.9682129,0.6896749521988528,gumbel_soft
3,1.0291233,test,0.9739326,0.6755758748021804,gumbel_soft
4,0.8095241,train,0.63993174,0.8075628801932784,gumbel_soft
4,0.8095241,val,0.6621167,0.8602294455066921,gumbel_soft
4,0.8095241,test,0.67403066,0.785827325479163,gumbel_soft
5,0.5046263,train,0.41879094,0.8215841925881185,gumbel_soft
5,0.5046263,val,0.46874478,0.7921606118546846,gumbel_soft
5,0.5046263,test,0.43344238,0.8120274309829436,gumbel_soft
6,0.36201102,train,0.30733496,0.956275076577937,gumbel_soft
6,0.36201102,val,0.34241492,0.9602294455066922,gumbel_soft
6,0.36201102,test,0.3347915,0.9465447511869175,gumbel_soft
7,0.2751235,train,0.24253556,0.9305190042711075,gumbel_soft
7,0.2751235,val,0.27182665,0.9181644359464627,gumbel_soft
7,0.2751235,test,0.2690022,0.9254439950764902,gumbel_soft
8,0.22186571,train,0.19203795,0.9603089002976832,gumbel_soft
8,0.22186571,val,0.21668419,0.9523900573613767,gumbel_soft
8,0.22186571,test,0.21487685,0.959205204853174,gumbel_soft
9,0.17627412,train,0.1621921,0.962789594029078,gumbel_soft
9,0.17627412,val,0.17875823,0.9625239005736138,gumbel_soft
9,0.17627412,test,0.18376088,0.960787761561456,gumbel_soft
10,0.15336122,train,0.14111997,0.9641270115190474,gumbel_soft
10,0.15336122,val,0.17515586,0.9495219885277246,gumbel_soft
10,0.15336122,test,0.16568151,0.960787761561456,gumbel_soft
11,0.13514751,train,0.13929471,0.9600284740497864,gumbel_soft
11,0.13514751,val,0.13496044,0.9625239005736138,gumbel_soft
11,0.13514751,test,0.14486302,0.960787761561456,gumbel_soft
12,0.11869075,train,0.11093087,0.9646231502653264,gumbel_soft
12,0.11869075,val,0.13451926,0.9615678776290632,gumbel_soft
12,0.11869075,test,0.13078539,0.9613152804642167,gumbel_soft
13,0.10630546,train,0.09978751,0.9694766814789249,gumbel_soft
13,0.10630546,val,0.11062924,0.9650095602294455,gumbel_soft
13,0.10630546,test,0.12186372,0.9690522243713733,gumbel_soft
14,0.09614739,train,0.09408742,0.9753440614349196,gumbel_soft
14,0.09614739,val,0.10433807,0.9736137667304016,gumbel_soft
14,0.09614739,test,0.111199476,0.9801301213293476,gumbel_soft
15,0.08982125,train,0.08490285,0.9737046464472151,gumbel_soft
15,0.08982125,val,0.093055435,0.9739961759082219,gumbel_soft
15,0.08982125,test,0.104506105,0.9662387902233164,gumbel_soft
16,0.08245562,train,0.07920726,0.986194400103542,gumbel_soft
16,0.08245562,val,0.08385078,0.9864244741873806,gumbel_soft
16,0.08245562,test,0.09797858,0.9864603481624759,gumbel_soft
17,0.078290835,train,0.07410178,0.9828508563786186,gumbel_soft
17,0.078290835,val,0.076226436,0.9803059273422562,gumbel_soft
17,0.078290835,test,0.09167795,0.9820643573061368,gumbel_soft
18,0.07316599,train,0.07049258,0.9803270201475474,gumbel_soft
18,0.07316599,val,0.07197004,0.9791586998087954,gumbel_soft
18,0.07316599,test,0.08683582,0.9817126780376296,gumbel_soft
19,0.06799198,train,0.065164104,0.9924500625566245,gumbel_soft
19,0.06799198,val,0.069240876,0.9881453154875717,gumbel_soft
19,0.06799198,test,0.085080445,0.9898013012132935,gumbel_soft
20,0.06438845,train,0.061969157,0.9932050563009621,gumbel_soft
20,0.06438845,val,0.064379066,0.9919694072657744,gumbel_soft
20,0.06438845,test,0.078387484,0.9924388957270969,gumbel_soft
21,0.060541797,train,0.05852635,0.9866473963501445,gumbel_soft
21,0.060541797,val,0.060878042,0.9854684512428298,gumbel_soft
21,0.060541797,test,0.07735666,0.9820643573061368,gumbel_soft
22,0.05813914,train,0.055503167,0.9943914750420639,gumbel_soft
22,0.05813914,val,0.0559694,0.9931166347992352,gumbel_soft
22,0.05813914,test,0.072509825,0.9936697731668718,gumbel_soft
23,0.05435515,train,0.052683678,0.992795202554036,gumbel_soft
23,0.05435515,val,0.054344837,0.988527724665392,gumbel_soft
23,0.05435515,test,0.069509685,0.9924388957270969,gumbel_soft
24,0.05324355,train,0.050886642,0.9939816212951378,gumbel_soft
24,0.05324355,val,0.050416335,0.9927342256214149,gumbel_soft
24,0.05324355,test,0.067568615,0.9933180938983647,gumbel_soft
25,0.050964892,train,0.04948891,0.9955778937831657,gumbel_soft
25,0.050964892,val,0.051239267,0.9933078393881453,gumbel_soft
25,0.050964892,test,0.06772823,0.9945489713381396,gumbel_soft
26,0.047823757,train,0.046348937,0.9956857500323568,gumbel_soft
26,0.047823757,val,0.04712332,0.9933078393881453,gumbel_soft
26,0.047823757,test,0.063515574,0.9943731317038861,gumbel_soft
27,0.046055663,train,0.04653973,0.9955563225333276,gumbel_soft
