feature,value,0,1,2
attn_1_2_outputs,1,-0.44312787,0.44091797,0.21164167
attn_1_2_outputs,2,-1.0845791,-0.32640845,1.1295211
attn_1_2_outputs,</s>,-1.3893505,-0.23128271,2.4234505
attn_1_2_outputs,<pad>,-0.19054928,0.33795467,0.19298886
attn_1_2_outputs,<s>,-0.54148114,-1.0589173,1.6732908
attn_1_2_outputs,_,-0.029016085,-0.6414262,-0.523931
attn_1_2_outputs,_,0.97763366,-0.9413571,-0.055328585
attn_1_2_outputs,_,0.83847487,-0.29028082,-0.1288269
attn_1_2_outputs,_,0.5307311,0.1663459,-1.4399636
attn_1_2_outputs,_,0.27570316,0.6216909,-0.27175748
attn_1_2_outputs,_,0.40637365,0.38519585,-0.4377779
attn_1_2_outputs,_,-0.5866538,0.38614255,0.05546061
attn_1_2_outputs,_,-0.22000149,-0.118389,-0.2869872
attn_1_2_outputs,_,0.3126921,-0.23162529,-0.12165624
attn_1_2_outputs,_,0.47110352,-1.216321,0.34165713
attn_1_3_outputs,0,-0.75872356,-0.47463375,0.1668633
attn_1_3_outputs,1,-0.6734713,0.8147211,0.5867962
attn_1_3_outputs,2,-2.205853,0.18347566,1.8877237
attn_1_3_outputs,</s>,-1.1394061,0.15952365,1.1936985
attn_1_3_outputs,<pad>,0.12846497,0.11311388,-0.33085412
attn_1_3_outputs,<s>,-1.2809298,0.008024716,0.9104543
attn_1_3_outputs,_,-0.18564886,0.7118161,-0.9044627
attn_1_3_outputs,_,0.036592484,-0.2280907,-0.013627457
attn_1_3_outputs,_,0.47841683,0.02100465,-0.015807804
attn_1_3_outputs,_,0.5622962,0.38167563,0.11533715
attn_1_3_outputs,_,0.26174468,1.1381767,0.5295801
attn_1_3_outputs,_,-0.004381428,1.0535624,-0.27988982
attn_1_3_outputs,_,0.27271488,0.21641283,-0.27259338
attn_1_3_outputs,_,-0.18376164,0.08082931,-0.8560012
attn_1_3_outputs,_,-0.30347252,0.06320831,-0.65360403
attn_1_3_outputs,_,0.23817511,-0.2796975,0.56642103
attn_2_0_outputs,0,-1.1847758,-0.29183733,0.3161722
