epoch,epoch_loss,split,loss,acc,sample_fn
0,2.6103556,train,1.7397596,0.3859743733551922,gumbel_soft
0,2.6103556,val,1.7179229,0.3919694072657744,gumbel_soft
0,2.6103556,test,1.74031,0.380692808158959,gumbel_soft
1,1.5643989,train,1.4236276,0.5038396824712024,gumbel_soft
1,1.5643989,val,1.4185145,0.49904397705544934,gumbel_soft
1,1.5643989,test,1.3959861,0.5164410058027079,gumbel_soft
2,1.3776013,train,1.339168,0.5206221148453342,gumbel_soft
2,1.3776013,val,1.3241047,0.5261950286806883,gumbel_soft
2,1.3776013,test,1.314586,0.5276947423949359,gumbel_soft
3,1.3185154,train,1.2991167,0.5301781785236637,gumbel_soft
3,1.3185154,val,1.2970098,0.5315487571701721,gumbel_soft
3,1.3185154,test,1.2823358,0.5370142430103746,gumbel_soft
4,1.286842,train,1.2667137,0.5383752534621856,gumbel_soft
4,1.286842,val,1.2458987,0.5380497131931167,gumbel_soft
4,1.286842,test,1.2432253,0.5491471777738702,gumbel_soft
5,1.2500881,train,1.2286829,0.5487078821346909,gumbel_soft
5,1.2500881,val,1.2247199,0.5435946462715106,gumbel_soft
5,1.2500881,test,1.2126572,0.5623351503428873,gumbel_soft
6,1.2030892,train,1.1757753,0.5643901807670736,gumbel_soft
6,1.2030892,val,1.1620325,0.5669216061185468,gumbel_soft
6,1.2030892,test,1.1595879,0.5756989625461579,gumbel_soft
7,1.1544634,train,1.1201406,0.5814314681392639,gumbel_soft
7,1.1544634,val,1.119344,0.5860420650095602,gumbel_soft
7,1.1544634,test,1.101948,0.5867768595041323,gumbel_soft
8,1.0960917,train,1.0668094,0.5989904655075715,gumbel_soft
8,1.0960917,val,1.0611005,0.5977055449330784,gumbel_soft
8,1.0960917,test,1.0477996,0.6150870406189555,gumbel_soft
9,1.043056,train,1.0061476,0.6209284265930368,gumbel_soft
9,1.043056,val,1.0087613,0.6158699808795411,gumbel_soft
9,1.043056,test,0.977261,0.6368911552663971,gumbel_soft
10,0.97999984,train,0.9490207,0.6392639889555201,gumbel_soft
10,0.97999984,val,0.931551,0.6430210325047802,gumbel_soft
10,0.97999984,test,0.92994213,0.6342535607525936,gumbel_soft
11,0.92130256,train,0.886687,0.6593899650545753,gumbel_soft
11,0.92130256,val,0.88332313,0.6640535372848948,gumbel_soft
11,0.92130256,test,0.88063264,0.6664322138209953,gumbel_soft
12,0.86468416,train,0.83302397,0.677078389921912,gumbel_soft
12,0.86468416,val,0.80458885,0.6841300191204589,gumbel_soft
12,0.86468416,test,0.80776453,0.6804993845612801,gumbel_soft
13,0.82195723,train,0.7867894,0.6946589585400578,gumbel_soft
13,0.82195723,val,0.7661067,0.6912045889101338,gumbel_soft
13,0.82195723,test,0.7681908,0.6959732723755935,gumbel_soft
14,0.7803811,train,0.76092094,0.6975495060183787,gumbel_soft
14,0.7803811,val,0.74583524,0.6992351816443595,gumbel_soft
14,0.7803811,test,0.76308465,0.6943907156673114,gumbel_soft
15,0.73612386,train,0.72291535,0.7057897234565771,gumbel_soft
15,0.73612386,val,0.7355417,0.7034416826003824,gumbel_soft
15,0.73612386,test,0.7131096,0.7091612449446105,gumbel_soft
16,0.70426255,train,0.7058202,0.7129082359031882,gumbel_soft
16,0.70426255,val,0.6874301,0.7196940726577438,gumbel_soft
16,0.70426255,test,0.6859487,0.71900826446281,gumbel_soft
17,0.6771872,train,0.6727662,0.7283532507873506,gumbel_soft
17,0.6771872,val,0.6932697,0.7219885277246654,gumbel_soft
17,0.6771872,test,0.67488235,0.7255143309301917,gumbel_soft
18,0.65422356,train,0.64520097,0.7346736269899478,gumbel_soft
18,0.65422356,val,0.63905126,0.7380497131931166,gumbel_soft
18,0.65422356,test,0.6157483,0.7413398980130121,gumbel_soft
19,0.63520896,train,0.63317394,0.7386643082100177,gumbel_soft
19,0.63520896,val,0.6250476,0.7476099426386233,gumbel_soft
19,0.63520896,test,0.6370698,0.7404606998417443,gumbel_soft
20,0.6414793,train,0.63118476,0.7416195694378532,gumbel_soft
20,0.6414793,val,0.70019877,0.7154875717017208,gumbel_soft
20,0.6414793,test,0.6338278,0.7464392474063654,gumbel_soft
21,0.61551225,train,0.6112811,0.7471849518961129,gumbel_soft
21,0.61551225,val,0.6155257,0.7451242829827915,gumbel_soft
21,0.61551225,test,0.590066,0.7589238614383682,gumbel_soft
22,0.6057085,train,0.5836493,0.7589412830579404,gumbel_soft
22,0.6057085,val,0.60719967,0.754302103250478,gumbel_soft
22,0.6057085,test,0.5870279,0.7638473711974679,gumbel_soft
23,0.5956258,train,0.5967489,0.7507657793692567,gumbel_soft
23,0.5956258,val,0.59889805,0.7497131931166348,gumbel_soft
23,0.5956258,test,0.6092174,0.7513627571654651,gumbel_soft
24,0.5934927,train,0.57534486,0.759502135553734,gumbel_soft
24,0.5934927,val,0.581479,0.7611854684512428,gumbel_soft
24,0.5934927,test,0.5572739,0.7634956919289608,gumbel_soft
25,0.57112205,train,0.5748684,0.7616592605375555,gumbel_soft
25,0.57112205,val,0.5688918,0.7630975143403441,gumbel_soft
25,0.57112205,test,0.5511202,0.7724635132758924,gumbel_soft
26,0.58023614,train,0.5712334,0.7640105267699211,gumbel_soft
26,0.58023614,val,0.566431,0.7630975143403441,gumbel_soft
26,0.58023614,test,0.5346356,0.777035343766485,gumbel_soft
27,0.5593461,train,0.5483348,0.7731567367013245,gumbel_soft
27,0.5593461,val,0.53245133,0.778585086042065,gumbel_soft
27,0.5593461,test,0.55968726,0.7736943907156673,gumbel_soft
28,0.5489855,train,0.5543451,0.769209197980931,gumbel_soft
28,0.5489855,val,0.57539946,0.7623326959847037,gumbel_soft
28,0.5489855,test,0.52623427,0.783013891331106,gumbel_soft
29,0.55428034,train,0.54997104,0.7747745804391907,gumbel_soft
29,0.55428034,val,0.53762096,0.7759082217973231,gumbel_soft
29,0.55428034,test,0.5346768,0.7809038157200633,gumbel_soft
30,0.55088097,train,0.5453757,0.775206005435955,gumbel_soft
30,0.55088097,val,0.5682651,0.7707456978967495,gumbel_soft
30,0.55088097,test,0.5534954,0.7791454193775277,gumbel_soft
31,0.54962975,train,0.5374266,0.7771258466715562,gumbel_soft
31,0.54962975,val,0.54642195,0.7695984703632888,gumbel_soft
31,0.54962975,test,0.6705293,0.751011077896958,gumbel_soft
32,0.5470016,train,0.5485194,0.7726821692048838,gumbel_soft
32,0.5470016,val,0.5488157,0.7694072657743786,gumbel_soft
32,0.5470016,test,0.54693687,0.7800246175487955,gumbel_soft
33,0.5407005,train,0.5094752,0.7890547478320894,gumbel_soft
33,0.5407005,val,0.49019617,0.7977055449330784,gumbel_soft
33,0.5407005,test,0.5194756,0.7907508352382627,gumbel_soft
34,0.53206956,train,0.51502424,0.7875016178437378,gumbel_soft
34,0.53206956,val,0.52581906,0.7810707456978967,gumbel_soft
34,0.53206956,test,0.50862044,0.7884649199929664,gumbel_soft
35,0.52095515,train,0.5169965,0.7876957590922818,gumbel_soft
35,0.52095515,val,0.510523,0.7864244741873805,gumbel_soft
35,0.52095515,test,0.48987067,0.7896957974327413,gumbel_soft
36,0.5123017,train,0.5093831,0.7884938953362958,gumbel_soft
36,0.5123017,val,0.49527526,0.7891013384321224,gumbel_soft
36,0.5123017,test,0.5011195,0.7960260242658695,gumbel_soft
37,0.51730555,train,0.5104027,0.7888821778333837,gumbel_soft
37,0.51730555,val,0.5167061,0.781453154875717,gumbel_soft
37,0.51730555,test,0.510831,0.7863548443819237,gumbel_soft
38,0.5217081,train,0.4985737,0.7933042840502179,gumbel_soft
38,0.5217081,val,0.5028122,0.7869980879541109,gumbel_soft
38,0.5217081,test,0.49792677,0.793036750483559,gumbel_soft
39,0.50159234,train,0.50504017,0.7899391690754562,gumbel_soft
39,0.50159234,val,0.5089795,0.7917782026768643,gumbel_soft
39,0.50159234,test,0.49989465,0.7940917882890803,gumbel_soft
40,0.50557196,train,0.5083881,0.7896803140773977,gumbel_soft
40,0.50557196,val,0.52514255,0.777055449330784,gumbel_soft
40,0.50557196,test,0.5213144,0.7835414102338667,gumbel_soft
41,0.49524415,train,0.48327422,0.7982441002631693,gumbel_soft
41,0.49524415,val,0.49299133,0.7902485659655831,gumbel_soft
41,0.49524415,test,0.5308199,0.793036750483559,gumbel_soft
42,0.5092986,train,0.5045541,0.7929375728029682,gumbel_soft
42,0.5092986,val,0.528286,0.7787762906309752,gumbel_soft
42,0.5092986,test,0.5159685,0.7870582029189379,gumbel_soft
43,0.507315,train,0.49037042,0.794814271538893,gumbel_soft
43,0.507315,val,0.4991487,0.791395793499044,gumbel_soft
43,0.507315,test,0.4846747,0.7970810620713908,gumbel_soft
44,0.49434882,train,0.49135923,0.7962811165278916,gumbel_soft
44,0.49434882,val,0.50259584,0.7887189292543021,gumbel_soft
44,0.49434882,test,0.5043714,0.7889924388957271,gumbel_soft
45,0.49956402,train,0.48983237,0.7966262565253031,gumbel_soft
45,0.49956402,val,0.4930238,0.7881453154875717,gumbel_soft
45,0.49956402,test,0.49272358,0.7960260242658695,gumbel_soft
46,0.508225,train,0.49967742,0.791621726562837,gumbel_soft
46,0.508225,val,0.4968079,0.7896749521988528,gumbel_soft
46,0.508225,test,0.4792707,0.8032354492702655,gumbel_soft
47,0.49049866,train,0.48122257,0.8013072177401959,gumbel_soft
47,0.49049866,val,0.4715214,0.8038240917782027,gumbel_soft
47,0.49049866,test,0.47834918,0.8065764023210832,gumbel_soft
48,0.48329252,train,0.52638066,0.7791966866560248,gumbel_soft
48,0.48329252,val,0.5341303,0.781453154875717,gumbel_soft
48,0.48329252,test,0.5394722,0.7703534376648496,gumbel_soft
49,0.5167874,train,0.52524626,0.7876310453427672,gumbel_soft
49,0.5167874,val,0.5181333,0.7822179732313576,gumbel_soft
49,0.5167874,test,0.5349721,0.783013891331106,gumbel_soft
50,0.4996096,train,0.51020426,0.787307476595194,gumbel_soft
50,0.4996096,val,0.51835525,0.7787762906309752,gumbel_soft
50,0.4996096,test,0.5119252,0.7851239669421488,gumbel_soft
51,0.49248618,train,0.49072874,0.7988696665084775,gumbel_soft
51,0.49248618,val,0.48895875,0.7969407265774379,gumbel_soft
51,0.49248618,test,0.47336063,0.8032354492702655,gumbel_soft
52,0.49238455,train,0.48983845,0.796216402778377,gumbel_soft
52,0.49238455,val,0.5065223,0.7862332695984704,gumbel_soft
52,0.49238455,test,0.48226374,0.7923333919465447,gumbel_soft
53,0.4913103,train,0.5063414,0.7918374390612192,gumbel_soft
53,0.4913103,val,0.5201515,0.7902485659655831,gumbel_soft
53,0.4913103,test,0.5060963,0.7877615614559522,gumbel_soft
54,0.48136333,train,0.47626206,0.8019112127356659,gumbel_soft
54,0.48136333,val,0.48533237,0.7921606118546846,gumbel_soft
54,0.48136333,test,0.48975036,0.7947951468260946,gumbel_soft
55,0.4944771,train,0.50472426,0.7919237240605721,gumbel_soft
55,0.4944771,val,0.56081945,0.7738049713193117,gumbel_soft
55,0.4944771,test,0.51000196,0.7835414102338667,gumbel_soft
56,0.5084601,train,0.50171226,0.7950731265369515,gumbel_soft
56,0.5084601,val,0.4991204,0.7969407265774379,gumbel_soft
56,0.5084601,test,0.5122499,0.7976085809741515,gumbel_soft
57,0.50050557,train,0.49982515,0.79291600155313,gumbel_soft
57,0.50050557,val,0.5197026,0.7854684512428298,gumbel_soft
57,0.50050557,test,0.52069587,0.7882890803587128,gumbel_soft
58,0.49255586,train,0.48283973,0.801026791492299,gumbel_soft
58,0.49255586,val,0.48440254,0.7969407265774379,gumbel_soft
58,0.49255586,test,0.5139175,0.784244768770881,gumbel_soft
59,0.49863648,train,0.5200047,0.7956986927822598,gumbel_soft
59,0.49863648,val,0.49584106,0.7954110898661568,gumbel_soft
59,0.49863648,test,0.5020559,0.7944434675575874,gumbel_soft
60,0.5172462,train,0.5226832,0.7870486215971353,gumbel_soft
60,0.5172462,val,0.5301433,0.7877629063097514,gumbel_soft
60,0.5172462,test,0.51141936,0.7916300334095305,gumbel_soft
61,0.515227,train,0.5301953,0.7862289141032831,gumbel_soft
61,0.515227,val,0.62794656,0.7804971319311663,gumbel_soft
61,0.515227,test,0.5040874,0.7896957974327413,gumbel_soft
62,0.5078123,train,0.48849058,0.8016092152379309,gumbel_soft
62,0.5078123,val,0.5268399,0.7917782026768643,gumbel_soft
62,0.5078123,test,0.50339925,0.7951468260946017,gumbel_soft
63,0.501134,train,0.48170573,0.8002502264981233,gumbel_soft
63,0.501134,val,0.4828269,0.7931166347992352,gumbel_soft
63,0.501134,test,0.4832362,0.7993669773166872,gumbel_soft
64,0.49295917,train,0.50483865,0.796518400276112,gumbel_soft
64,0.49295917,val,0.5041086,0.7925430210325047,gumbel_soft
64,0.49295917,test,0.52137345,0.7911025145067698,gumbel_soft
65,0.50158024,train,0.495457,0.7962595452780534,gumbel_soft
65,0.50158024,val,0.50098634,0.7919694072657744,gumbel_soft
